Date,US
07/31/1926,-0.0272
08/31/1926,0.0541
09/30/1926,-0.0051
10/31/1926,0.0108
11/30/1926,0.0021
12/31/1926,0.0111
01/31/1927,0.0517
02/28/1927,0.0274
03/31/1927,-0.007
04/30/1927,0.0059
05/31/1927,0.0354
06/30/1927,-0.0073
07/31/1927,-0.0115
08/31/1927,-0.0288
09/30/1927,-0.0273
10/31/1927,-0.0389
11/30/1927,0.0073
12/31/1927,-0.0184
01/31/1928,-0.0087
02/29/1928,-0.0169
03/31/1928,-0.0252
04/30/1928,0.0361
05/31/1928,-0.0178
06/30/1928,-0.0067
07/31/1928,-0.0097
08/31/1928,-0.0167
09/30/1928,0.0141
10/31/1928,-0.0293
11/30/1928,0.0254
12/31/1928,0.0027
01/31/1929,-0.0173
02/28/1929,0.0135
03/31/1929,0.0178
04/30/1929,-0.0069
05/31/1929,-0.0088
06/30/1929,-0.0258
07/31/1929,0.0366
08/31/1929,0.0193
09/30/1929,-0.0076
10/31/1929,0.1033
11/30/1929,0.0364
12/31/1929,0.0132
01/31/1930,0.0096
02/28/1930,0.0017
03/31/1930,0.0151
04/30/1930,-0.028
05/31/1930,-0.0148
06/30/1930,0.0353
07/31/1930,-0.0363
08/31/1930,-0.0178
09/30/1930,-0.0352
10/31/1930,-0.0167
11/30/1930,-0.0321
12/31/1930,-0.053
01/31/1931,0.0723
02/28/1931,-0.0282
03/31/1931,-0.045
04/30/1931,-0.0239
05/31/1931,-0.0473
06/30/1931,0.0775
07/31/1931,-0.0219
08/31/1931,-0.0312
09/30/1931,-0.0378
10/31/1931,-0.0322
11/30/1931,-0.061
12/31/1931,-0.0795
01/31/1932,0.1009
02/29/1932,-0.0476
03/31/1932,-0.0515
04/30/1932,-0.0375
05/31/1932,-0.0347
06/30/1932,0.0338
07/31/1932,0.3047
08/31/1932,0.3753
09/30/1932,-0.0681
10/31/1932,-0.0773
11/30/1932,-0.0691
12/31/1932,-0.0681
01/31/1933,0.0172
02/28/1933,-0.0207
03/31/1933,0.0961
04/30/1933,0.111
05/31/1933,0.1846
06/30/1933,0.0618
07/31/1933,0.0311
08/31/1933,0.0197
09/30/1933,-0.1118
10/31/1933,-0.0479
11/30/1933,0.0012
12/31/1933,-0.0239
01/31/1934,0.1269
02/28/1934,0.023
03/31/1934,-0.0197
04/30/1934,-0.0285
05/31/1934,-0.0469
06/30/1934,-0.0088
07/31/1934,-0.09
08/31/1934,0.0122
09/30/1934,-0.0172
10/31/1934,-0.0573
11/30/1934,-0.0591
12/31/1934,-0.0292
01/31/1935,-0.0158
02/28/1935,-0.081
03/31/1935,-0.0322
04/30/1935,0.0476
05/31/1935,0.0226
06/30/1935,-0.038
07/31/1935,0.0197
08/31/1935,0.087
09/30/1935,-0.0418
10/31/1935,-0.0001
11/30/1935,0.0965
12/31/1935,0.0125
01/31/1936,0.1339
02/29/1936,0.0376
03/31/1936,-0.0227
04/30/1936,-0.051
05/31/1936,0.0197
06/30/1936,-0.0124
07/31/1936,0.0267
08/31/1936,0.0262
09/30/1936,-0.0002
10/31/1936,0.0219
11/30/1936,0.0104
12/31/1936,0.0549
01/31/1937,0.0165
02/28/1937,0.0469
03/31/1937,0.0567
04/30/1937,-0.0371
05/31/1937,-0.0315
06/30/1937,-0.0442
07/31/1937,0.0111
08/31/1937,-0.0113
09/30/1937,-0.0503
10/31/1937,-0.025
11/30/1937,-0.0059
12/31/1937,-0.0199
01/31/1938,-0.0225
02/28/1938,-0.0102
03/31/1938,-0.0479
04/30/1938,0.0233
05/31/1938,0.0004
06/30/1938,0.006
07/31/1938,0.0018
08/31/1938,-0.0611
09/30/1938,-0.0048
10/31/1938,0.0448
11/30/1938,-0.0187
12/31/1938,-0.0013
01/31/1939,-0.0292
02/28/1939,0.0232
03/31/1939,-0.0662
04/30/1939,0.0035
05/31/1939,-0.0042
06/30/1939,-0.0514
07/31/1939,-0.0195
08/31/1939,-0.0124
09/30/1939,0.2708
10/31/1939,-0.0637
11/30/1939,-0.0768
12/31/1939,-0.0232
01/31/1940,-0.0211
02/29/1940,-0.0026
03/31/1940,-0.0125
04/30/1940,0.015
05/31/1940,-0.0398
06/30/1940,0.0318
07/31/1940,-0.0229
08/31/1940,-0.0063
09/30/1940,-0.0278
10/31/1940,0.0513
11/30/1940,-0.0076
12/31/1940,0.0026
01/31/1941,0.0369
02/28/1941,0.0017
03/31/1941,0.03
04/30/1941,0.0236
05/31/1941,0.005
06/30/1941,0.0106
07/31/1941,0.0914
08/31/1941,-0.0057
09/30/1941,-0.0139
10/31/1941,0.0065
11/30/1941,-0.014
12/31/1941,-0.0615
01/31/1942,0.1022
02/28/1942,0.0005
03/31/1942,-0.0189
04/30/1942,-0.0003
05/31/1942,-0.0398
06/30/1942,-0.0095
07/31/1942,0.0295
08/31/1942,0.0113
09/30/1942,0.022
10/31/1942,0.0826
11/30/1942,-0.0485
12/31/1942,-0.0004
01/31/1943,0.0969
02/28/1943,0.0938
03/31/1943,0.0567
04/30/1943,0.0537
05/31/1943,0.0389
06/30/1943,-0.0129
07/31/1943,-0.0206
08/31/1943,-0.0023
09/30/1943,0.0206
10/31/1943,0.0016
11/30/1943,-0.0525
12/31/1943,0.0267
01/31/1944,0.0305
02/29/1944,0.0211
03/31/1944,0.0352
04/30/1944,-0.0094
05/31/1944,0.0161
06/30/1944,0.0185
07/31/1944,-0.0031
08/31/1944,-0.0166
09/30/1944,-0.008
10/31/1944,-0.0057
11/30/1944,0.0158
12/31/1944,0.0626
01/31/1945,0.0116
02/28/1945,0.0342
03/31/1945,-0.0158
04/30/1945,0.022
05/31/1945,0.0047
06/30/1945,0.0579
07/31/1945,-0.0269
08/31/1945,-0.0467
09/30/1945,0.0022
10/31/1945,0.0153
11/30/1945,0.0392
12/31/1945,-0.0211
01/31/1946,0.0345
02/28/1946,-0.0163
03/31/1946,-0.0013
04/30/1946,-0.0006
05/31/1946,0.0188
06/30/1946,-0.0047
07/31/1946,-0.0019
08/31/1946,0.0067
09/30/1946,-0.0142
10/31/1946,0.0331
11/30/1946,0.0176
12/31/1946,-0.0126
01/31/1947,-0.005
02/28/1947,-0.0007
03/31/1947,0.0093
04/30/1947,0.0072
05/31/1947,0.0103
06/30/1947,-0.0011
07/31/1947,0.0207
08/31/1947,0.0007
09/30/1947,0.0158
10/31/1947,0.0005
11/30/1947,0.0017
12/31/1947,0.0287
01/31/1948,0.017
02/29/1948,-0.0024
03/31/1948,0.0382
04/30/1948,0.0275
05/31/1948,-0.0075
06/30/1948,0.0204
07/31/1948,0.0012
08/31/1948,-0.0006
09/30/1948,-0.0169
10/31/1948,0.0048
11/30/1948,-0.0414
12/31/1948,-0.0167
01/31/1949,0.0119
02/28/1949,-0.0096
03/31/1949,0.0124
04/30/1949,-0.0036
05/31/1949,-0.0244
06/30/1949,-0.012
07/31/1949,-0.0045
08/31/1949,-0.0103
09/30/1949,0.0057
10/31/1949,-0.0038
11/30/1949,-0.0116
12/31/1949,0.0157
01/31/1950,0.0127
02/28/1950,-0.0104
03/31/1950,-0.0136
04/30/1950,0.0234
05/31/1950,0.0005
06/30/1950,-0.0064
07/31/1950,0.1451
08/31/1950,-0.0248
09/30/1950,-0.0083
10/31/1950,0.0048
11/30/1950,0.037
12/31/1950,0.0793
01/31/1951,0.0312
02/28/1951,-0.0234
03/31/1951,-0.0426
04/30/1951,0.0245
05/31/1951,-0.0151
06/30/1951,-0.036
07/31/1951,0.0163
08/31/1951,-0.0013
09/30/1951,0.0126
10/31/1951,0.0024
11/30/1951,-0.0016
12/31/1951,-0.0149
01/31/1952,0.014
02/29/1952,-0.0047
03/31/1952,0.0254
04/30/1952,-0.004
05/31/1952,-0.0007
06/30/1952,0.013
07/31/1952,-0.0062
08/31/1952,-0.0057
09/30/1952,-0.0117
10/31/1952,-0.004
11/30/1952,-0.0034
12/31/1952,0.0079
01/31/1953,0.0045
02/28/1953,0.0023
03/31/1953,-0.0073
04/30/1953,0.0068
05/31/1953,0.0023
06/30/1953,-0.0049
07/31/1953,-0.0027
08/31/1953,-0.0295
09/30/1953,-0.0222
10/31/1953,-0.0022
11/30/1953,-0.0099
12/31/1953,-0.022
01/31/1954,0.0357
02/28/1954,-0.0067
03/31/1954,-0.0119
04/30/1954,-0.0138
05/31/1954,0.0185
06/30/1954,-0.0115
07/31/1954,0.0317
08/31/1954,0.0018
09/30/1954,0.0014
10/31/1954,0.0008
11/30/1954,0.0132
12/31/1954,0.0471
01/31/1955,0.0215
02/28/1955,0.0036
03/31/1955,0.0099
04/30/1955,-0.0061
05/31/1955,-0.01
06/30/1955,0.0069
07/31/1955,-0.0016
08/31/1955,0.0044
09/30/1955,-0.0018
10/31/1955,0.0095
11/30/1955,-0.0092
12/31/1955,-0.0069
01/31/1956,0.0129
02/29/1956,-0.0111
03/31/1956,0.0088
04/30/1956,0.0115
05/31/1956,-0.013
