Date,CAN
07/31/1984,-0.0401
08/31/1984,0.001
09/30/1984,0.0125
10/31/1984,-0.0254
11/30/1984,-0.0009
12/31/1984,-0.0116
01/31/1985,-0.0037
02/28/1985,0.017
03/31/1985,-0.0027
04/30/1985,0.0105
05/31/1985,-0.0173
06/30/1985,0.0164
07/31/1985,0.0338
08/31/1985,0.0033
09/30/1985,0.0047
10/31/1985,0.0227
11/30/1985,-0.0021
12/31/1985,-0.0085
01/31/1986,0.0461
02/28/1986,0.0242
03/31/1986,0.0031
04/30/1986,0.0225
05/31/1986,0.0111
06/30/1986,0.0108
07/31/1986,0.0539
08/31/1986,-0.0216
09/30/1986,-0.0254
10/31/1986,-0.0069
11/30/1986,-0.0097
12/31/1986,0.0034
01/31/1987,-0.036
02/28/1987,0.0231
03/31/1987,0.0042
04/30/1987,-0.0098
05/31/1987,-0.0027
06/30/1987,-0.0294
07/31/1987,0.0051
08/31/1987,-0.0065
09/30/1987,-0.018
10/31/1987,-0.0389
11/30/1987,0.0057
12/31/1987,-0.0334
01/31/1988,0.0431
02/29/1988,-0.0314
03/31/1988,0.0334
04/30/1988,0.0057
05/31/1988,-0.0032
06/30/1988,-0.0073
07/31/1988,-0.0012
08/31/1988,-0.0049
09/30/1988,0.0043
10/31/1988,0.0088
11/30/1988,-0.0089
12/31/1988,-0.0125
01/31/1989,0.0065
02/28/1989,0.0153
03/31/1989,-0.0133
04/30/1989,-0.0293
05/31/1989,-0.0051
06/30/1989,0.0236
07/31/1989,-0.0361
08/31/1989,-0.0018
09/30/1989,0.0076
10/31/1989,-0.0107
11/30/1989,-0.013
12/31/1989,-0.0213
01/31/1990,-0.0014
02/28/1990,-0.0084
03/31/1990,-0.0061
04/30/1990,-0.0051
05/31/1990,-0.0213
06/30/1990,0.0192
07/31/1990,-0.033
08/31/1990,0.0012
09/30/1990,-0.0116
10/31/1990,-0.0131
11/30/1990,-0.032
12/31/1990,-0.0139
01/31/1991,-0.0238
02/28/1991,0.0644
03/31/1991,0.0562
04/30/1991,-0.0113
05/31/1991,-0.0161
06/30/1991,0.0293
07/31/1991,-0.0223
08/31/1991,-0.0211
09/30/1991,-0.0091
10/31/1991,0.0111
11/30/1991,-0.0017
12/31/1991,-0.0056
01/31/1992,0.0064
02/29/1992,0.0118
03/31/1992,0.0219
04/30/1992,-0.0293
05/31/1992,-0.0129
06/30/1992,-0.0202
07/31/1992,-0.0108
08/31/1992,0.0056
09/30/1992,0.0244
10/31/1992,-0.03
11/30/1992,-0.0027
12/31/1992,0.0327
01/31/1993,-0.0028
02/28/1993,0.0241
03/31/1993,0.0165
04/30/1993,0.0158
05/31/1993,0.0374
06/30/1993,0.0228
07/31/1993,-0.0144
08/31/1993,0.0062
09/30/1993,0.0196
10/31/1993,-0.0074
11/30/1993,0.0191
12/31/1993,-0.0072
01/31/1994,-0.0176
02/28/1994,0.0072
03/31/1994,-0.0067
04/30/1994,0.0035
05/31/1994,-0.0164
06/30/1994,-0.0001
07/31/1994,-0.0134
08/31/1994,-0.0403
09/30/1994,0.0052
10/31/1994,-0.0009
11/30/1994,-0.0228
12/31/1994,-0.0077
01/31/1995,0.0079
