Date,US
07/31/1926,-0.0166
08/31/1926,-0.014
09/30/1926,-0.012
10/31/1926,0.0051
11/30/1926,-0.0124
12/31/1926,-0.0084
01/31/1927,-0.0069
02/28/1927,0.0035
03/31/1927,-0.0104
04/30/1927,0.0091
05/31/1927,0.015
06/30/1927,0.0056
07/31/1927,-0.0281
08/31/1927,-0.0075
09/30/1927,-0.0298
10/31/1927,0.0254
11/30/1927,0.0232
12/31/1927,-0.0033
01/31/1928,0.0524
02/29/1928,-0.0131
03/31/1928,-0.0127
04/30/1928,0.0368
05/31/1928,0.0255
06/30/1928,-0.033
07/31/1928,-0.0103
08/31/1928,-0.0016
09/30/1928,0.0452
10/31/1928,0.0097
11/30/1928,-0.0049
12/31/1928,-0.0129
01/31/1929,-0.0298
02/28/1929,0.0053
03/31/1929,-0.0413
04/30/1929,0.0007
05/31/1929,-0.0712
06/30/1929,-0.0098
07/31/1929,-0.0425
08/31/1929,-0.076
09/30/1929,0.0079
10/31/1929,-0.0519
11/30/1929,-0.0153
12/31/1929,-0.0385
01/31/1930,0.0647
02/28/1930,0.0077
03/31/1930,0.0302
04/30/1930,-0.0046
05/31/1930,-0.0279
06/30/1930,-0.0399
07/31/1930,-0.0022
08/31/1930,-0.0087
09/30/1930,-0.0133
10/31/1930,0.0031
11/30/1930,0.0263
12/31/1930,-0.0281
01/31/1931,0.0324
02/28/1931,0.06
03/31/1931,0.0384
04/30/1931,-0.0238
05/31/1931,0.033
06/30/1931,-0.0398
07/31/1931,0.0245
08/31/1931,-0.0193
09/30/1931,-0.0064
10/31/1931,0.0255
11/30/1931,0.0576
12/31/1931,0.0048
01/31/1932,0.0458
02/29/1932,-0.0135
03/31/1932,0.0374
04/30/1932,0.0327
05/31/1932,0.0967
06/30/1932,0.0305
07/31/1932,-0.1329
08/31/1932,0.0402
09/30/1932,-0.0286
10/31/1932,0.0209
11/30/1932,0.0275
12/31/1932,-0.0715
01/31/1933,-0.0076
02/28/1933,0.034
03/31/1933,0.0522
04/30/1933,-0.027
05/31/1933,0.3614
06/30/1933,0.0474
07/31/1933,0.0398
08/31/1933,-0.03
09/30/1933,-0.01
10/31/1933,-0.0022
11/30/1933,-0.0452
12/31/1933,-0.0177
01/31/1934,0.1869
02/28/1934,0.0497
03/31/1934,0.0155
04/30/1934,0.0434
05/31/1934,-0.0241
06/30/1934,-0.0251
07/31/1934,-0.0432
08/31/1934,0.0502
09/30/1934,-0.0161
10/31/1934,0.0329
11/30/1934,0.0535
12/31/1934,0.0239
01/31/1935,0.0221
02/28/1935,-0.005
03/31/1935,-0.032
04/30/1935,-0.012
05/31/1935,-0.0256
06/30/1935,-0.0409
07/31/1935,0.0159
08/31/1935,0.0494
09/30/1935,0.0052
10/31/1935,0.0188
11/30/1935,0.0965
12/31/1935,0.024
01/31/1936,0.0766
02/29/1936,0.0045
03/31/1936,0.0034
04/30/1936,-0.044
05/31/1936,-0.0067
06/30/1936,-0.026
07/31/1936,0.0038
08/31/1936,0.0002
09/30/1936,0.0335
10/31/1936,-0.0195
11/30/1936,0.087
12/31/1936,0.0112
01/31/1937,0.0431
02/28/1937,0.0081
03/31/1937,-0.0174
04/30/1937,-0.0388
05/31/1937,-0.006
06/30/1937,-0.033
07/31/1937,0.0069
08/31/1937,0.0056
09/30/1937,-0.0643
10/31/1937,0.0118
11/30/1937,-0.048
12/31/1937,-0.069
01/31/1938,0.0519
02/28/1938,-0.0046
03/31/1938,-0.0326
04/30/1938,0.0815
05/31/1938,-0.0333
06/30/1938,0.0313
07/31/1938,0.0583
08/31/1938,-0.0269
09/30/1938,-0.0205
10/31/1938,0.0501
11/30/1938,-0.0188
12/31/1938,-0.0191
01/31/1939,-0.016
02/28/1939,0.0084
03/31/1939,-0.0361
04/30/1939,0.0103
05/31/1939,0.0231
06/30/1939,0.0014
07/31/1939,0.015
08/31/1939,-0.0336
09/30/1939,0.1609
10/31/1939,0.0134
11/30/1939,-0.0324
12/31/1939,-0.0089
01/31/1940,0.0157
02/29/1940,0.0238
03/31/1940,0.0082
04/30/1940,0.0292
05/31/1940,-0.0519
06/30/1940,-0.0097
07/31/1940,0.0025
08/31/1940,-0.0039
09/30/1940,0.0269
10/31/1940,-0.0073
11/30/1940,0.0222
12/31/1940,-0.024
01/31/1941,0.02
02/28/1941,-0.0145
03/31/1941,0.0051
04/30/1941,-0.0141
05/31/1941,-0.0009
06/30/1941,0.017
07/31/1941,0.0537
08/31/1941,0.0023
09/30/1941,-0.0113
10/31/1941,-0.0106
11/30/1941,-0.0147
12/31/1941,-0.0543
01/31/1942,0.0851
02/28/1942,0.0078
03/31/1942,0.0248
04/30/1942,-0.0078
05/31/1942,-0.023
06/30/1942,0.0052
07/31/1942,0.0016
08/31/1942,0.0001
09/30/1942,0.0157
10/31/1942,0.0241
11/30/1942,-0.0091
12/31/1942,-0.0268
01/31/1943,0.0967
02/28/1943,0.0617
03/31/1943,0.0564
04/30/1943,0.0248
05/31/1943,0.0356
06/30/1943,-0.0079
07/31/1943,-0.0251
08/31/1943,-0.0068
09/30/1943,0.0115
10/31/1943,0.0077
11/30/1943,-0.0257
12/31/1943,0.0395
01/31/1944,0.0322
02/29/1944,0.0061
03/31/1944,0.0228
04/30/1944,-0.0144
05/31/1944,0.0158
06/30/1944,0.0524
07/31/1944,0.0017
08/31/1944,0.0165
09/30/1944,0.0007
10/31/1944,-0.0021
11/30/1944,0.0061
12/31/1944,0.0333
01/31/1945,0.0253
02/28/1945,0.0238
03/31/1945,-0.0172
04/30/1945,0.0062
05/31/1945,0.0151
06/30/1945,0.0361
07/31/1945,-0.0162
08/31/1945,0.0134
09/30/1945,0.0152
10/31/1945,0.0269
11/30/1945,0.0481
12/31/1945,0.022
01/31/1946,0.0365
02/28/1946,-0.0073
03/31/1946,-0.0055
04/30/1946,0.015
05/31/1946,0.021
06/30/1946,-0.0156
07/31/1946,-0.0179
08/31/1946,-0.0205
09/30/1946,-0.0442
10/31/1946,0.0014
11/30/1946,-0.0016
12/31/1946,-0.0006
01/31/1947,0.0228
02/28/1947,0.0023
03/31/1947,-0.0204
04/30/1947,-0.045
05/31/1947,-0.0326
06/30/1947,0.0051
07/31/1947,0.0167
08/31/1947,0.0047
09/30/1947,0.0118
10/31/1947,0.0119
11/30/1947,-0.0126
12/31/1947,-0.0217
01/31/1948,0.0223
02/29/1948,-0.0203
03/31/1948,0.0006
04/30/1948,-0.0123
05/31/1948,0.0107
06/30/1948,-0.0161
07/31/1948,-0.0027
08/31/1948,-0.0102
09/30/1948,-0.0142
10/31/1948,-0.0098
11/30/1948,-0.0055
12/31/1948,-0.0255
01/31/1949,0.0165
02/28/1949,-0.0122
03/31/1949,0.0177
04/30/1949,-0.0145
05/31/1949,-0.014
06/30/1949,-0.0012
07/31/1949,0.0032
08/31/1949,0.0031
09/30/1949,0.0106
10/31/1949,0.0062
11/30/1949,-0.0057
12/31/1949,0.0162
01/31/1950,0.0196
02/28/1950,0.0031
03/31/1950,-0.0154
04/30/1950,0.0058
05/31/1950,-0.0176
06/30/1950,-0.023
07/31/1950,-0.0003
08/31/1950,0.0084
09/30/1950,0.0072
10/31/1950,-0.0111
11/30/1950,-0.0039
12/31/1950,0.0188
01/31/1951,0.0152
02/28/1951,0.0024
03/31/1951,-0.0084
04/30/1951,-0.0119
05/31/1951,-0.0031
06/30/1951,-0.0124
07/31/1951,-0.0167
08/31/1951,0.0041
09/30/1951,0.0123
10/31/1951,0.0021
11/30/1951,-0.002
12/31/1951,-0.017
01/31/1952,-0.0014
02/29/1952,0.007
03/31/1952,-0.0251
04/30/1952,0.0005
05/31/1952,-0.0113
06/30/1952,-0.0146
07/31/1952,-0.0007
08/31/1952,0.0126
09/30/1952,0.0092
10/31/1952,-0.0086
11/30/1952,-0.0111
12/31/1952,-0.0124
01/31/1953,0.0264
02/28/1953,0.0204
03/31/1953,0.0038
04/30/1953,0.0022
05/31/1953,0.0003
06/30/1953,-0.0196
07/31/1953,-0.0059
08/31/1953,0.0065
09/30/1953,-0.011
10/31/1953,-0.0132
11/30/1953,-0.0085
12/31/1953,-0.0113
01/31/1954,0.011
02/28/1954,-0.0056
03/31/1954,-0.0008
04/30/1954,-0.0265
05/31/1954,-0.0032
06/30/1954,0.0106
07/31/1954,0.0216
08/31/1954,0.0164
09/30/1954,-0.0233
10/31/1954,0.0051
11/30/1954,-0.0218
12/31/1954,0.0121
01/31/1955,0.009
02/28/1955,0.0163
03/31/1955,-0.0087
04/30/1955,-0.0093
05/31/1955,-0.0024
06/30/1955,-0.0262
07/31/1955,-0.0061
08/31/1955,0.004
09/30/1955,-0.0006
10/31/1955,0.0149
11/30/1955,-0.0232
12/31/1955,0.017
01/31/1956,0.0067
02/29/1956,-0.0031
03/31/1956,-0.0123
04/30/1956,0.003
05/31/1956,0.0139
06/30/1956,-0.0107
07/31/1956,-0.0097
08/31/1956,0.015
09/30/1956,0.0122
10/31/1956,0.0017
11/30/1956,-0.0002
12/31/1956,-0.0081
01/31/1957,0.0347
02/28/1957,-0.0033
03/31/1957,0.0011
04/30/1957,-0.0128
05/31/1957,-0.0123
06/30/1957,-0.0003
07/31/1957,-0.0062
08/31/1957,-0.0016
09/30/1957,0.0089
10/31/1957,-0.0201
11/30/1957,0.0014
12/31/1957,-0.0027
01/31/1958,0.0367
02/28/1958,0.0035
03/31/1958,0.0099
04/30/1958,-0.0054
05/31/1958,0.0087
06/30/1958,0.0069
07/31/1958,-0.0059
08/31/1958,0.0091
09/30/1958,-0.0061
10/31/1958,0.0025
11/30/1958,0.0058
12/31/1958,-0.0141
01/31/1959,0.029
02/28/1959,0.0204
03/31/1959,0.015
04/30/1959,-0.0072
05/31/1959,-0.0115
06/30/1959,0.0053
07/31/1959,-0.0024
08/31/1959,-0.0017
09/30/1959,0.0001
10/31/1959,0.0141
11/30/1959,0.0013
12/31/1959,-0.0048
01/31/1960,0.0278
02/29/1960,0.0038
03/31/1960,-0.0044
04/30/1960,-0.0009
