Date ,CAN
02/28/1987,0.02
03/31/1987,0.02
04/30/1987,-0.05
05/31/1987,-0.01
06/30/1987,0.02
07/31/1987,-0.05
08/31/1987,0.02
09/30/1987,-0.04
10/31/1987,-0.08
11/30/1987,-0.01
12/31/1987,0.01
01/31/1988,0.06
02/29/1988,0.03
03/31/1988,0.01
04/30/1988,0
05/31/1988,0
06/30/1988,0.04
07/31/1988,0.03
08/31/1988,0.01
09/30/1988,0.03
10/31/1988,0.04
11/30/1988,0.01
12/31/1988,0.02
01/31/1989,-0.03
02/28/1989,0
03/31/1989,0
04/30/1989,0.01
05/31/1989,0.03
06/30/1989,0.02
07/31/1989,0
08/31/1989,0
09/30/1989,-0.01
10/31/1989,0.01
11/30/1989,-0.03
12/31/1989,0.01
01/31/1990,-0.06
02/28/1990,0
03/31/1990,0.04
04/30/1990,-0.01
05/31/1990,0.01
06/30/1990,0.02
07/31/1990,-0.01
08/31/1990,-0.01
09/30/1990,-0.02
10/31/1990,0.04
11/30/1990,0.03
12/31/1990,0.03
01/31/1991,0.03
02/28/1991,-0.02
03/31/1991,0.03
04/30/1991,0
05/31/1991,0.02
06/30/1991,0
07/31/1991,0.01
08/31/1991,0.02
09/30/1991,0.02
10/31/1991,0.02
11/30/1991,0.02
12/31/1991,-0.03
01/31/1992,0.01
02/29/1992,-0.03
03/31/1992,0
04/30/1992,-0.01
05/31/1992,-0.02
06/30/1992,0.02
07/31/1992,0.03
08/31/1992,0.01
09/30/1992,0
10/31/1992,0.02
11/30/1992,-0.03
12/31/1992,0
01/31/1993,0.07
02/28/1993,0
03/31/1993,0.09
04/30/1993,0.04
05/31/1993,0.01
06/30/1993,0.07
07/31/1993,-0.03
08/31/1993,0.01
09/30/1993,0
10/31/1993,-0.01
11/30/1993,-0.06
12/31/1993,0.01
01/31/1994,0
02/28/1994,-0.02
03/31/1994,-0.03
04/30/1994,0.01
05/31/1994,-0.02
06/30/1994,-0.03
07/31/1994,-0.03
08/31/1994,-0.03
09/30/1994,-0.01
10/31/1994,-0.02
11/30/1994,-0.03
12/31/1994,-0.01
01/31/1995,-0.02
02/28/1995,0
03/31/1995,0.04
04/30/1995,0.04
05/31/1995,-0.01
06/30/1995,-0.03
07/31/1995,0.01
08/31/1995,0.05
09/30/1995,0.01
10/31/1995,0
11/30/1995,-0.01
12/31/1995,0.03
01/31/1996,-0.01
02/29/1996,0.04
03/31/1996,0
04/30/1996,0.02
05/31/1996,0.01
06/30/1996,0.04
07/31/1996,0
08/31/1996,-0.01
09/30/1996,0.01
10/31/1996,0.05
11/30/1996,0.04
12/31/1996,0.01
01/31/1997,0.04
