Symbol,Description
AAB,Aberdeen International Inc
AAV,Advantage Oil & Gas Ltd
ABT,Absolute Software Corp
ABX,Barrick Gold Corp
AC,Air Canada
ACB,Aurora Cannabis Inc
ACB.WT,Aurora Cannabis Inc Wts
ACD,Accord Financial
ACI,Altagas Canada Inc
ACO.X,Atco Ltd Cl.I Nv
ACO.Y,Atco Ltd Cl II
ACQ,Autocanada Inc
ACR.UN,Agellan Commercial REIT
ACZ.UN,American Core Sectors Dividend Fund
AD,Alaris Royalty Corp
ADC.UN,First Asset Canadian Convertibles Fund
ADN,Acadian Timber Corp
ADW.A,Andrew Peller Limited Cl.A
ADW.B,Andrew Peller Limited Cl.B
AEF,Acasta Enterprises Inc
AEF.WT,Acasta Enterprises Inc Wts
AEM,Agnico Eagle Mines Limited
AEZS,Aeterna Zentaris Inc
AFN,Ag Growth International Inc
AFN.DB.B,Ag Growth International 5.25 Pct Debs
AFN.DB.C,Ag Growth Intl Inc 5.00 Pct Debs
AFN.DB.D,Ag Growth Intl Inc 4.85 Pct Debs
AFN.DB.E,Ag Growth Intl Inc 4.50 Pct Debs
AGF.B,AGF Management Ltd Cl.B Nv
AGI,Alamos Gold Inc Cls A
AGI.WT.A,Alamos Gold Inc Warrants A
AGT,Agt Food and Ingredients Inc
AHY.UN,Advantaged CDN High Yield Bond Fund
AI,Atrium Mortgage Investment Corp
AI.DB,Atrium Mortgage Inv Corp 5.25 Pct Debs
AI.DB.A,Atrium Mortgage Inv Corp 6.25 Pct Debs
AI.DB.B,Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.C,Atrium Mortgage Inv Corp 5.30 Pct Debs
AI.DB.D,Atrium Mortgage Inv Corp 5.50 Pct Debs
AIF,Altus Group Limited
AII,Almonty Industries Inc
AIM,Aimia Inc
AIM.PR.A,Aimia Inc Pref Ser 1
AIM.PR.B,Aimia Inc Pref Ser 2
AIM.PR.C,Aimia Inc Pref Ser 3
AJX,Agjunction Inc
AKG,Asanko Gold Inc
AKT.A,Akita Drilling Ltd Cl.A Nv
AKT.B,Akita Cl B
AKU,Akumin Inc
AKU.U,Akumin Inc
ALA,Altagas Ltd
ALA.PR.A,Altagas Ltd Pref A
ALA.PR.B,Altagas Ltd Pref Ser B
ALA.PR.E,Altagas Ltd Pref Ser E
ALA.PR.G,Altagas Ltd Pref G
ALA.PR.I,Altagas Ltd Pref Ser I
ALA.PR.K,Altagas Ltd Pref Ser K
ALA.PR.U,Altagas Ltd Pref Ser C
ALB,Allbanc Split Banc Corp II
ALB.PR.C,Allbanc Split Corp II Pref Ser 2
ALC,Algoma Central
ALC.DB.A,Algoma Central Corp 5.25 Pct Debs
ALO,Alio Gold Inc
ALS,Altius Minerals Corp
ALYA,Alithya Group
AMM,Almaden Minerals Ltd
ANX,Anaconda Mining Inc
AOI,Africa Oil Corp
AP.UN,Allied Properties Real Estate Inv Trust
APH,Aphria Inc
APHA,Aphria Inc
APR.UN,Automotive Properties REIT
APS,Aptose Biosciences Inc
APY,Anglo Pacific Group Plc
AQA,Aquila Resources Inc
AQN,Algonquin Power and Utilities Corp
AQN.PR.A,Algonquin Power and Utilities Pref A
AQN.PR.D,Algonquin Power and Utilities Pref D
AQY.A,Alignvest Acquisition II Corp Cl A
AR,Argonaut Gold Inc
ARE,Aecon Group Inc
ARE.DB.B,Aecon Group Inc 5.50 Pct Debs
ARE.DB.C,Aecon Group Inc 5.0 Pct Debs
ARG,Amerigo Resources Ltd
ARX,Arc Resources Ltd
ASM,Avino Silver and Gold Mines Ltd
ASM.WT,Avino Silver and Gold Mines Ltd Wts
ASND,Ascendant Resources Inc
ASND.WT,Ascendant Resources Inc Wts
ASO,Avesoro Resources Inc
ASP,Acerus Pharmaceuticals Corp
ASP.WT,Acerus Pharmaceuticals Corp Wts
ASR,Alacer Gold Corp
ATA,Ats Automation
ATD.A,Alimentation Couche-Tard Inc Cl A Mv
ATD.B,Alimentation Couche-Tard Inc Cl B Sv
ATH,Athabasca Oil Corp
ATL,Atlatsa Resources Corp
ATP,Atlantic Power Corp
ATP.DB.D,Atlantic Power Corp 6.00 Pct Ser D Debs
ATP.DB.E,Atlantic Power Corporation 6.00 Pct Debs
ATZ,Aritzia Inc
AUG,Auryn Resources Inc
AUMN,Golden Minerals Company
AUP,Aurinia Pharmaceuticals Inc
AVL,Avalon Advanced Materials Inc
AVP,Avcorp Industries Inc
AW.UN,A&W Revenue Royalties Income Fund
AX.PR.A,Artis REIT Pref Ser A
AX.PR.E,Artis REIT Pref Ser E
AX.PR.G,Artis REIT Pref Ser G
AX.PR.I,Artis REIT Pref Series I
AX.UN,Artis Real Estate Investment Trust Units
AXR,Alexco Resource Corp
AYM,Atalaya Mining Plc
AZP.PR.A,Atlantic Power Pref Equity Ser 1
AZP.PR.B,Atlantic Power Pref Equity Ser 2
AZP.PR.C,Atlantic Power Pref Equity Ser 3
AZZ,Azarga Uranium Corp
BAD,Badger Daylighting Ltd
BAM.A,Brookfield Asset Management Inc Cl.A Lv
BAM.PF.A,Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PF.B,Brookfield Asset Mgmt Inc Pref Ser 34
BAM.PF.C,Brookfield Asset Mgmt Inc Pref Ser 36
BAM.PF.D,Brookfield Asset Mgmt Inc Pr Ser 37
BAM.PF.E,Brookfield Asset Mgmt Pref Ser 38
BAM.PF.F,Brookfield Asset Mgmt Inc Pref Ser 40
BAM.PF.G,Brookfield Asset Mgmt Inc Pref Ser 42
BAM.PF.H,Brookfield Asset MGT Inc Pref Ser 44
BAM.PF.I,Brookfield Asset Mgmt Inc Pref Ser 46
BAM.PF.J,Brookfield Asset Mgmt Inc Pref Ser 48
BAM.PR.B,Brookfield Asset Mgmt Inc Pr. Ser 2
BAM.PR.C,Brookfield Asset Mgmt Inc Pr. Ser 4
BAM.PR.E,Brookfield Asset Mgmt Inc Pr. Ser 8
BAM.PR.G,Brookfield Asset Mgmt Inc Pr Ser 9
BAM.PR.K,Brookfield Asset Mgmt Inc Pr. Ser 13
BAM.PR.M,Brookfield Asset Mgmt Inc Prf A Ser 17
BAM.PR.N,Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.R,Brookfield Asset Mgmt Pref Ser 24
BAM.PR.S,Brookfield Asset Mgmt Inc Pref Ser 25
BAM.PR.T,Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X,Brookfield Am Pref Ser 28
BAM.PR.Z,Brookfield Asset Mgmt Inc Pr Ser 30
BANK,BMO Glb Banks Hgd To CAD ETF
BAR,Balmoral Resources Ltd
BB,Blackberry Limited
BBD.A,Bombardier Inc Cl. A Mv
BBD.B,Bombardier Inc Cl. B Sv
BBD.PR.B,Bombardier 2 Pr
BBD.PR.C,Bombardier Inc Pref Class C
BBD.PR.D,Bombardier Inc Pref Ser 3
BBL.A,Brampton Brick Ltd Cl.A Sv
BBU.UN,Brookfield Business Partners LP
BCB,Cott Corp
BCE,BCE Inc
BCE.PR.A,BCE First Pr Shares Series Aa
BCE.PR.B,BCE Inc First Pr Shares Series Ab
BCE.PR.C,BCE Inc Pr Shares Series AC
BCE.PR.D,BCE Inc Pref Shares Series Ad
BCE.PR.E,BCE 1st Pref Shares Series Ae
BCE.PR.F,BCE 1st Pref Shares Series Af
BCE.PR.G,BCE 1st Pref Shares Series Ag
BCE.PR.H,BCE 1st Pref Shares Series Ah
BCE.PR.I,BCE 1st Pref Shares Series Ai
BCE.PR.J,BCE Inc Pref Sh Series Aj
BCE.PR.K,BCE Inc Pref Ser AK
BCE.PR.L,BCE Inc Pref Ser Al
BCE.PR.M,BCE Inc Pref Shares Series Am
BCE.PR.N,BCE Inc Pref Shares Series An
BCE.PR.O,BCE Inc Pref Shares Series Ao
BCE.PR.Q,BCE Inc Pref Shares Series Aq
BCE.PR.R,BCE Inc Ser R
BCE.PR.S,BCE Inc Ser S
BCE.PR.T,BCE Inc First Pref Series T
BCE.PR.Y,BCE Inc Ser Y Pr
BCE.PR.Z,BCE Inc Series Z
BCI,New Look Vision Group Inc
BDI,Black Diamond Group Ltd
BDT,Bird Construction Inc
BEI.UN,Boardwalk Real Estate Investment Trust
BEK.B,Becker Milk Company Ltd Cl.B Nv
BEP.PR.E,Brookfield Renewable LP Pref Ser 5
BEP.PR.G,Brookfield Renewable LP Pref Ser 7
BEP.PR.I,Brookfield Renewable Pref Ser 9
BEP.PR.K,Brookfield Renewable LP Pref Ser 11
BEP.PR.M,Brookfield Renewable LP Pref Ser 13
BEP.UN,Brookfield Renewable Partners LP
BFIN,Brompton Na Financials Dividend ETF
BGC,Bristol Gate Concentrated CDN Eqty ETF
BGI.UN,Brookfield Glbl Infras Sec Inc Fd
BGU,Bristol Gate Concentrated US Eqty ETF
BGU.U,Bristol Gate Conc US Eqty ETF USD
BHC,Bausch Health Companies Inc
BIG.D,Big 8 Split Inc Class D
BIG.PR.D,Big 8 Split Inc Pref Class D
BIP.PR.A,Brookfield Infra Partners LP Pref Ser 1
BIP.PR.B,Brookfield Infra Partners LP Pref Ser 3
BIP.PR.C,Brookfield Infra Partners LP Pref Ser 5
BIP.PR.D,Brookfield Infra Partners LP Pref Ser 7
BIP.PR.E,Brookfield Infra Partners LP Pref Ser 9
BIP.PR.F,Brookfield Infra Partners LP Pref Ser 11
BIP.UN,Brookfield Infra Partners LP Units
BIR,Birchcliff Energy Ltd
BIR.PR.A,Birchcliff Energy Ltd Pref Sh A
BIR.PR.C,Birchcliff Energy Ltd Pref Ser C
BK,Canadian Banc Corp
BK.PR.A,Canadian Banc Corp Pref A
BKCH,Horizons Blockchain Tech Hardware ETF
BKI,Black Iron Inc
BKL.C,Powershares Senior Loan Index ETF
BKL.F,Powershares Senior Loan Index ETF
BKL.U,Powershares Senior Loan Index USD ETF
BKX,Bnk Petroleum Inc
BL.UN,Global Innovation Dividend Fund
BLB.UN,Bloom Select Income Fund
BLCK,First Trust Indxx Innov Trans Proc ETF
BLDP,Ballard Power Systems Inc
BLU,Bellus Health Inc
BLX,Boralex Inc
BLX.DB.A,Boralex Inc 4.5 Pct Debs
BMO,Bank of Montreal
BMO.PR.A,BMO Pref Shares Series 26
BMO.PR.B,BMO Pref Shares Series 38
BMO.PR.C,BMO Pref Shares Series 40
BMO.PR.D,BMO Pref Shares Series 42
BMO.PR.E,BMO Pref Shares Series 44
BMO.PR.Q,Bank of Montreal B Pref Sh Ser 25
BMO.PR.S,BMO Cl B Pref Shares Ser 27
BMO.PR.T,BMO Non Cum Cl B Prf Share Series 29
BMO.PR.W,BMO Cl B Pref Shares Ser 31
BMO.PR.Y,Bank of Montreal Pref Ser 33
BMO.PR.Z,Bank of Montreal Pref Ser 35
BNC,Purpose CDN Financial Income Fund ETF
BND,Purpose Tactical Inv Grade Bond ETF
BNE,Bonterra Energy Corp
BNG,Bengal Energy Ltd
BNP,Bonavista Energy Corp
BNS,Bank of Nova Scotia
BNS.PR.B,Bns Pref Shares Series 21
BNS.PR.C,Bns Pref Ser 23
BNS.PR.D,Bns Pref Shares Series 31
BNS.PR.E,Bns Pref Shares Series 34
BNS.PR.F,Bns Pref Shares Series 33
BNS.PR.G,Bns Pref Shares Series 36
BNS.PR.H,Bns Pref Shares Series 38
BNS.PR.I,Bns Preferred Shares Series 40
BNS.PR.Q,Bns Pref Shares Series 20
